"ZipCode","PlaceName","State","County","Lat","Long"
"66078","Princeton","KS","Franklin","38.484699999999997","-95.276399999999995"
"67127","Protection","KS","Comanche","37.196800000000003","-99.4816"
"66528","Quenemo","KS","Osage","38.578499999999998","-95.536199999999994"
"67752","Quinter","KS","Gove","39.036299999999997","-100.2337"
"67475","Ramona","KS","Marion","38.5777","-97.075900000000004"
"66963","Randall","KS","Jewell","39.628599999999999","-98.066100000000006"
"66554","Randolph","KS","Riley","39.487900000000003","-96.782799999999995"
"67572","Ransom","KS","Ness","38.640000000000001","-99.926699999999997"
"66079","Rantoul","KS","Franklin","38.566600000000001","-95.123400000000004"
"67573","Raymond","KS","Rice","38.287700000000001","-98.411900000000003"
"66868","Reading","KS","Lyon","38.529000000000003","-95.989500000000007"
"66769","Redfield","KS","Bourbon","37.8367","-94.880499999999998"
"66964","Republic","KS","Republic","39.937600000000003","-97.843500000000006"
"67753","Rexford","KS","Thomas","39.426699999999997","-100.7461"
"67953","Richfield","KS","Morton","37.2834","-101.7004"
"66080","Richmond","KS","Franklin","38.407400000000003","-95.248900000000006"
"66531","Riley","KS","Riley","39.3005","-96.822199999999995"
"66770","Riverton","KS","Cherokee","37.081000000000003","-94.717500000000001"
"66532","Robinson","KS","Brown","39.818199999999997","-95.456699999999998"
"67131","Rock","KS","Cowley","37.441299999999998","-97.005899999999997"
"67954","Rolla","KS","Morton","37.108899999999998","-101.6447"
"67132","Rosalia","KS","Butler","37.795999999999999","-96.648200000000003"
"67133","Rose Hill","KS","Butler","37.578400000000002","-97.1173"
"66533","Rossville","KS","Shawnee","39.145099999999999","-95.955299999999994"
"67476","Roxbury","KS","McPherson","38.550800000000002","-97.430300000000003"
"67574","Rozel","KS","Pawnee","38.214799999999997","-99.404799999999994"
"67575","Rush Center","KS","Rush","38.453299999999999","-99.307900000000004"
"67665","Russell","KS","Russell","38.880600000000001","-98.859499999999997"
"66534","Sabetha","KS","Nemaha","39.899299999999997","-95.811300000000003"
"67756","Saint Francis","KS","Cheyenne","39.680399999999999","-101.9093"
"66535","Saint George","KS","Pottawatomie","39.210799999999999","-96.4345"
"66536","Saint Marys","KS","Pottawatomie","39.198700000000002","-96.068299999999994"
"66771","Saint Paul","KS","Neosho","37.518000000000001","-95.168800000000005"
"67402","Salina","KS","Saline","38.840299999999999","-97.611400000000003"
"67401","Salina","KS","Saline","38.823700000000002","-97.642099999999999"
"67870","Satanta","KS","Haskell","37.440899999999999","-100.9691"
"66772","Savonburg","KS","Allen","37.7517","-95.154499999999999"
"67134","Sawyer","KS","Pratt","37.510100000000001","-98.664199999999994"
"66773","Scammon","KS","Cherokee","37.280900000000003","-94.809200000000004"
"66966","Scandia","KS","Republic","39.793900000000001","-97.778599999999997"
"67667","Schoenchen","KS","Ellis","38.712800000000001","-99.3322"
"67871","Scott City","KS","Scott","38.482300000000002","-100.9064"
"66537","Scranton","KS","Osage","38.787999999999997","-95.748000000000005"
"67361","Sedan","KS","Chautauqua","37.1297","-96.173199999999994"
"67135","Sedgwick","KS","Harvey","37.916699999999999","-97.422499999999999"
"67757","Selden","KS","Sheridan","39.521599999999999","-100.5257"
"66538","Seneca","KS","Nemaha","39.847299999999997","-96.031599999999997"
"67137","Severy","KS","Greenwood","37.616999999999997","-96.225200000000001"
"67138","Sharon","KS","Barber","37.249200000000002","-98.414199999999994"
"67758","Sharon Springs","KS","Wallace","38.8857","-101.7431"
"66203","Shawnee","KS","Johnson","39.041699999999999","-94.720200000000006"
"66218","Shawnee","KS","Johnson","39.041699999999999","-94.720200000000006"
"66217","Shawnee","KS","Johnson","39.041699999999999","-94.720200000000006"
"66216","Shawnee","KS","Johnson","39.041699999999999","-94.720200000000006"
"66226","Shawnee","KS","Johnson","39.041699999999999","-94.720200000000006"
"66286","Shawnee","KS","Johnson","39.041699999999999","-94.720200000000006"
"66276","Shawnee Mission","KS","Johnson","38.899900000000002","-94.831999999999994"
"66539","Silver Lake","KS","Shawnee","39.110199999999999","-95.855199999999996"
"67478","Simpson","KS","Mitchell","39.385100000000001","-97.9328"
"66967","Smith Center","KS","Smith","39.804200000000002","-98.784199999999998"
"66540","Soldier","KS","Jackson","39.501300000000001","-95.965199999999996"
"67480","Solomon","KS","Dickinson","38.919400000000003","-97.351799999999997"
